Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
SOLUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,3.061626479999968,1,100.0,reports_walkforward/returns_SOLUSDT_30min.pkl,43,6,1,1
SOLUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.37034140000000715,1,100.0,reports_walkforward/returns_SOLUSDT_30min.pkl,42,6,1,3
SOLUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.19851559999999324,1,100.0,reports_walkforward/returns_SOLUSDT_30min.pkl,45,5,1,6
SOLUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.8377887999999611,1,100.0,reports_walkforward/returns_SOLUSDT_30min.pkl,45,5,1,4
SOLUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-1.1963047599999999,7,71.42857142857143,reports_walkforward/returns_SOLUSDT_30min.pkl,52,5,2,2
SOLUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-4.3516336800000115,2,0.0,reports_walkforward/returns_SOLUSDT_30min.pkl,53,6,1,1
SOLUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.5170562400000023,4,50.0,reports_walkforward/returns_SOLUSDT_30min.pkl,54,5,1,4
SOLUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,0.6789769999999917,4,50.0,reports_walkforward/returns_SOLUSDT_30min.pkl,41,5,1,2
SOLUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-7.024104599999969,2,0.0,reports_walkforward/returns_SOLUSDT_30min.pkl,41,5,2,1
SOLUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-0.8442729199999999,10,70.0,reports_walkforward/returns_SOLUSDT_30min.pkl,43,5,1,6
SOLUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,1.5139835200000284,5,80.0,reports_walkforward/returns_SOLUSDT_30min.pkl,43,5,2,4
SOLUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,-0.09823368000001498,1,0.0,reports_walkforward/returns_SOLUSDT_30min.pkl,42,5,2,4
SOLUSDT,30min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-0.5778872399999413,11,63.63636363636363,reports_walkforward/returns_SOLUSDT_30min.pkl,43,5,1,6
SOLUSDT,30min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,1.4940701999999861,1,100.0,reports_walkforward/returns_SOLUSDT_30min.pkl,50,8,1,4
