Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
DOGEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,7.5796367857199565,5,80.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,40,6,1,3
DOGEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,3.7273215229199685,2,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,41,6,1,2
DOGEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,41,6,1,3
DOGEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.230271655920001,3,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,41,5,2,3
DOGEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-28.821048412079943,4,50.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,50,5,2,3
DOGEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,5.320448389120025,5,80.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,47,8,2,7
DOGEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.5951539026000328,5,60.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,47,7,2,7
DOGEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.0906301210800393,2,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,47,8,2,8
DOGEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-5.79890959292001,2,0.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,47,7,2,7
DOGEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.8756437790800042,1,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,47,7,1,9
DOGEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.6559439523600163,1,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,54,8,1,9
DOGEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.153637239040007,4,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,54,6,1,6
DOGEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.0454537702399902,1,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,54,6,1,5
DOGEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,3.0819054516400213,3,66.66666666666666,reports_walkforward/returns_DOGEUSDT_1H.pkl,54,6,1,5
DOGEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,2.2217160556400106,4,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,54,6,1,9
DOGEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-2.887337160720038,3,66.66666666666666,reports_walkforward/returns_DOGEUSDT_1H.pkl,40,6,1,2
DOGEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.5406582363999712,1,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,48,6,2,2
DOGEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,5.516228779760013,3,100.0,reports_walkforward/returns_DOGEUSDT_1H.pkl,48,6,1,2
