Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Tag,Duration
1934210,203,258,0.0012925168,0.0012741,-35.62195872799978,-0.014248789648227289,2024-01-01 03:23:00,2024-01-01 04:18:00,,0 days 00:55:00
3908795,258,455,0.00127460964,0.0013028,110.19033821620026,0.022116857675735124,2024-01-01 04:18:00,2024-01-01 07:35:00,,0 days 03:17:00
1942469,3601,3608,0.0012966184399999998,0.0011527,-279.5571082283596,-0.11099521305589322,2024-01-03 12:01:00,2024-01-03 12:08:00,,0 days 00:07:00
4247026,3608,3609,0.0011531610799999999,0.001,-650.4790889480794,-0.13281846106009743,2024-01-03 12:08:00,2024-01-03 12:09:00,,0 days 00:01:00
6855656,3609,4763,0.0010004,0.0012524,1727.6253120000003,0.25189924030387845,2024-01-03 12:09:00,2024-01-04 07:23:00,,0 days 19:14:00
2184747,4786,4823,0.00124409744,0.00123,-30.79933974768,-0.011331459696597435,2024-01-04 07:46:00,2024-01-04 08:23:00,,0 days 00:37:00
4406010,4823,4940,0.0012302919200000001,0.0012058,-107.91164443920086,-0.019907405390421684,2024-01-04 08:23:00,2024-01-04 10:20:00,,0 days 01:57:00
6674020,4940,6680,0.00120618228,0.0011738,-216.11998436560023,-0.026846920682668363,2024-01-04 10:20:00,2024-01-05 15:20:00,,1 days 05:00:00
1,6680,8058,0.00117426952,0.0011616,-1.2669519999999965e-05,-0.01078927774604932,2024-01-05 15:20:00,2024-01-06 14:18:00,,0 days 22:58:00
2260886,8089,8359,0.0011629649999999997,0.0011505,-28.18194398999932,-0.01071829332782992,2024-01-06 14:49:00,2024-01-06 19:19:00,,0 days 04:30:00
4556692,8359,8884,0.0011509602,0.0011955,202.95415034159984,0.03869794976403185,2024-01-06 19:19:00,2024-01-07 04:04:00,,0 days 08:45:00
2213349,8957,9015,0.00120768288,0.0011945,-29.17831426511998,-0.010915845722678452,2024-01-07 05:17:00,2024-01-07 06:15:00,,0 days 00:58:00
4460435,9015,9162,0.00119527792,0.0011743,-93.57064859519974,-0.017550663029063496,2024-01-07 06:15:00,2024-01-07 08:42:00,,0 days 02:27:00
6748290,9162,9212,0.00117466968,0.0011453,-198.19511784720075,-0.02500250112865776,2024-01-07 08:42:00,2024-01-07 09:32:00,,0 days 00:50:00
1,9212,10754,0.00114605824,0.0011043,-4.1758240000000155e-05,-0.03643640309239449,2024-01-07 09:32:00,2024-01-08 11:14:00,,1 days 01:42:00
2365384,10758,10812,0.00109613828,0.0011321,85.06327710048022,0.03280764904953415,2024-01-08 11:18:00,2024-01-08 12:12:00,,0 days 00:54:00
