Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
NEARUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,False,11,38,52,14,35,False
NEARUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,False,8,24,48,13,43,False
NEARUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.07387344400002771,3,33.33333333333333,False,45,31,30,28,32,False
NEARUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.7663013320000855,11,54.54545454545454,False,36,32,14,16,36,False
NEARUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,33.76072011199995,18,55.55555555555556,False,54,18,41,34,32,False
NEARUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-6.746670932000065,48,54.166666666666664,False,53,26,57,15,34,False
NEARUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.5530396399999775,59,59.32203389830508,False,45,46,59,39,45,False
NEARUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,2.3229812239999426,63,52.38095238095239,False,50,7,36,33,52,False
NEARUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.6956029239999504,75,48.0,False,27,33,9,28,50,False
NEARUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,12.776730971999939,73,52.054794520547944,False,27,59,35,19,58,False
NEARUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-18.236322803999926,74,37.83783783783784,False,45,44,5,35,46,False
NEARUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.6787166400000988,56,37.5,False,47,9,41,6,41,False
NEARUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-22.93321404399993,80,43.75,False,38,30,32,8,39,False
