Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
XRPUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-3.8383460419999405,13,23.076923076923077,False,11,24,36,17,46,False
XRPUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,False,50,23,9,30,54,False
XRPUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,False,9,41,34,32,41,False
XRPUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,False,38,51,10,39,30,False
XRPUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-1.4140517912000328,1,0.0,False,35,23,22,38,46,False
XRPUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.0485922895999265,4,75.0,False,33,13,40,23,47,False
XRPUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-1.787079451200202,30,56.666666666666664,False,6,20,17,20,47,False
XRPUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,5.164142324800092,13,76.92307692307693,False,34,30,19,25,36,False
XRPUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-4.926352601200001,15,33.33333333333333,False,11,22,23,20,47,False
XRPUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,False,17,37,6,25,42,False
XRPUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,11,43,13,7,42,False
XRPUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.5698556812000377,8,50.0,False,17,15,22,16,58,False
XRPUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.9303143899998534,85,43.529411764705884,False,32,14,27,17,40,True
XRPUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-13.979830994000364,41,36.58536585365854,False,34,12,25,22,45,True
