Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
BTCUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.0,0,0,False,7,54,30,11,40,True
BTCUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,False,11,21,15,39,45,True
BTCUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,False,36,41,49,29,48,True
BTCUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,False,48,46,25,10,46,True
BTCUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,False,59,53,51,14,40,False
BTCUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,False,5,28,59,21,32,False
BTCUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,False,13,54,6,26,50,False
BTCUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,False,16,6,39,20,57,False
BTCUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,False,54,36,40,29,42,False
BTCUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,False,13,50,36,16,50,True
BTCUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,False,34,50,25,20,41,True
BTCUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,False,49,6,51,34,44,True
BTCUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,False,27,56,24,32,42,False
BTCUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,False,59,51,53,29,48,True
BTCUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,False,30,20,30,30,57,True
