Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),Used Previous Params,param_ema_length,param_adx_length,param_adxr_offset,param_signal1,param_signal2,param_reverse
SOLUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.7003426840001548,64,45.3125,False,58,52,26,33,36,False
SOLUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-11.708098627999696,67,49.25373134328358,False,59,39,45,28,31,False
SOLUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-11.268531099999969,48,29.166666666666668,False,58,24,5,10,46,False
SOLUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,-3.5067777720000026,58,50.0,False,59,26,43,14,54,False
SOLUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,24.785258436000035,74,51.35135135135135,False,58,25,28,36,37,False
SOLUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.10502603999998,78,42.30769230769231,False,48,27,7,37,44,False
SOLUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-16.89694876800005,84,39.285714285714285,False,31,44,40,15,32,False
SOLUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,0.0,0,0,False,56,16,59,12,51,False
SOLUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-17.327849527999827,44,43.18181818181818,False,59,41,16,8,34,False
SOLUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,11.51142164400012,64,46.875,False,59,14,46,26,40,False
SOLUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-10.316183496000065,86,44.18604651162791,False,59,18,5,33,51,False
SOLUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-7.7145519640001154,37,43.24324324324324,False,24,30,13,6,42,True
SOLUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-13.330389292000234,90,42.22222222222222,False,28,31,59,16,33,True
