Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
1000PEPEUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-5.003629512394814,2,50.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,15,34,3,7,True,66,2
1000PEPEUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-5.332229989656412,2,50.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,15,36,1,7,True,66,2
1000PEPEUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-18.132517940638404,4,50.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,25,26,2,1,True,68,4
1000PEPEUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.103332072314347,16,68.75,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,23,20,4,1,True,58,2
1000PEPEUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,8.051472103796776,4,75.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,25,40,3,1,True,62,2
1000PEPEUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.887638785591642,3,66.66666666666666,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,23,50,1,3,True,64,5
1000PEPEUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.9310178296235945,2,50.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,27,48,5,4,True,60,5
1000PEPEUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,3.3866522516052378,8,75.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,27,22,3,6,True,62,4
1000PEPEUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-6.992041798700843,5,40.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,27,24,5,7,True,60,2
1000PEPEUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,5.722278779425194,4,75.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,25,22,7,7,True,64,3
