Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_lowest_point_bars,param_rsi_length,param_sell_barrier,param_dca_parts,param_max_lookback,param_sma_period,param_only_buy_above_sma
XRPUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-5.055858110800015,9,55.55555555555556,reports_walkforward/returns_XRPUSDT_1H.pkl,12,62,52,9,6,74,False
XRPUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.085491510399983,1,0.0,reports_walkforward/returns_XRPUSDT_1H.pkl,4,78,58,4,10,62,False
XRPUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-1.3202989416000177,1,0.0,reports_walkforward/returns_XRPUSDT_1H.pkl,6,60,58,6,62,64,True
XRPUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,2.18498845520001,14,78.57142857142857,reports_walkforward/returns_XRPUSDT_1H.pkl,12,14,46,4,72,50,False
XRPUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,19.72638204599999,12,75.0,reports_walkforward/returns_XRPUSDT_1H.pkl,4,70,60,3,62,46,True
XRPUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,-3.66038920720001,1,0.0,reports_walkforward/returns_XRPUSDT_1H.pkl,4,46,64,3,56,18,False
XRPUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.958490311999997,1,0.0,reports_walkforward/returns_XRPUSDT_1H.pkl,4,70,64,5,34,44,True
XRPUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,7.046395983999987,1,0.0,reports_walkforward/returns_XRPUSDT_1H.pkl,4,62,64,7,74,32,False
XRPUSDT,1H,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,-6.242291268000011,2,50.0,reports_walkforward/returns_XRPUSDT_1H.pkl,4,62,64,5,56,58,False
XRPUSDT,1H,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-18.769051318399978,1,0.0,reports_walkforward/returns_XRPUSDT_1H.pkl,4,38,68,7,32,28,False
XRPUSDT,1H,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,1.9500912824000238,3,66.66666666666666,reports_walkforward/returns_XRPUSDT_1H.pkl,20,22,56,7,22,72,False
BNBUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.29415360000001334,3,33.33333333333333,reports_walkforward/returns_BNBUSDT_15min.pkl,10,44,62,1,10,48,False
BNBUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-3.4212814799999602,13,76.92307692307693,reports_walkforward/returns_BNBUSDT_15min.pkl,22,26,58,3,48,60,False
BNBUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.0860788000000463,29,79.3103448275862,reports_walkforward/returns_BNBUSDT_15min.pkl,8,16,62,2,42,28,False
BNBUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,13.19533359999998,32,81.25,reports_walkforward/returns_BNBUSDT_15min.pkl,6,46,60,2,40,22,False
BNBUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,28.52405840000003,10,80.0,reports_walkforward/returns_BNBUSDT_15min.pkl,4,56,64,2,16,76,False
BNBUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,3.675707039999998,4,75.0,reports_walkforward/returns_BNBUSDT_15min.pkl,12,26,72,1,46,28,False
BNBUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.1067392800000233,2,50.0,reports_walkforward/returns_BNBUSDT_15min.pkl,8,54,64,2,58,58,False
BNBUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-0.5705590800000215,3,33.33333333333333,reports_walkforward/returns_BNBUSDT_15min.pkl,4,22,74,3,26,42,False
BNBUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-0.09071296000000562,1,0.0,reports_walkforward/returns_BNBUSDT_15min.pkl,4,48,68,1,58,58,False
BNBUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-2.1711880000000017,1,0.0,reports_walkforward/returns_BNBUSDT_15min.pkl,8,74,62,2,42,46,False
BNBUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,2.091261440000025,5,60.0,reports_walkforward/returns_BNBUSDT_15min.pkl,8,34,64,4,50,46,False
BNBUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-6.228655120000004,3,66.66666666666666,reports_walkforward/returns_BNBUSDT_15min.pkl,22,34,64,7,12,18,False
BNBUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.019238319999981268,10,70.0,reports_walkforward/returns_BNBUSDT_15min.pkl,20,10,70,9,20,52,False
BNBUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.7185406800000793,7,85.71428571428571,reports_walkforward/returns_BNBUSDT_15min.pkl,18,34,62,9,38,40,False
BNBUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.8948919999999916,1,0.0,reports_walkforward/returns_BNBUSDT_15min.pkl,20,20,76,8,14,22,False
BNBUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,5.643822919999986,4,100.0,reports_walkforward/returns_BNBUSDT_15min.pkl,22,18,64,1,10,72,True
BNBUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,1.1262648800000052,1,0.0,reports_walkforward/returns_BNBUSDT_15min.pkl,6,56,84,7,44,46,True
