Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_port,param_ps2,param_ps3,param_ps4,param_ps5,param_ps6,param_ps7,param_ps8,param_ma_length,param_rsi_length,param_oversold,param_profit_target_percent,param_profit_target_percent_all,param_take_profit_progression,param_entry_on
BTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.2285420221973311,1,0.0,reports_walkforward/returns_BTCUSDT_1H.pkl,14,2,6,4,14,10,23,25,80,9,38,2,4,8,True
BTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0.0,reports_walkforward/returns_BTCUSDT_1H.pkl,17,2,5,6,11,13,22,31,90,13,21,5,5,5,True
BTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.36437898068628627,2,50.0,reports_walkforward/returns_BTCUSDT_1H.pkl,18,1,7,3,13,22,17,29,90,7,36,2,5,15,True
BTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,0.7432956228361265,2,50.0,reports_walkforward/returns_BTCUSDT_1H.pkl,17,1,2,6,12,12,18,33,90,7,32,3,5,8,True
BTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,1.822725518278978,1,0.0,reports_walkforward/returns_BTCUSDT_1H.pkl,18,1,6,4,5,13,21,39,50,7,33,2,4,7,False
BTCUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-2.796084235393481,5,80.0,reports_walkforward/returns_BTCUSDT_15min.pkl,19,2,2,4,6,24,34,47,170,7,34,4,6,17,True
BTCUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.06910418512022787,1,0.0,reports_walkforward/returns_BTCUSDT_15min.pkl,19,2,2,3,12,17,18,25,110,20,35,4,3,6,False
BTCUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,2.118174097202652,1,100.0,reports_walkforward/returns_BTCUSDT_15min.pkl,19,1,2,3,8,23,31,47,50,16,32,5,3,9,True
BTCUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.4228216165036445,2,50.0,reports_walkforward/returns_BTCUSDT_15min.pkl,19,2,4,6,5,24,23,43,70,11,35,3,4,10,True
BTCUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.9349927367066302,3,66.66666666666666,reports_walkforward/returns_BTCUSDT_15min.pkl,19,3,2,5,5,21,29,41,80,10,27,4,2,18,True
