Symbol,Timeframe,Score,Parameters
BTC,30min,-1000.0,"{'lowest_point_bars': 20, 'rsi_length': 10, 'sell_barrier': 75, 'dca_parts': 6}"
BTC,30min,-1000.0,"{'lowest_point_bars': 20, 'rsi_length': 10, 'sell_barrier': 75, 'dca_parts': 6}"
BTC,30min,-1000.0,"{'lowest_point_bars': 20, 'rsi_length': 10, 'sell_barrier': 75, 'dca_parts': 6}"
BTC,30min,-1000.0,"{'lowest_point_bars': 20, 'rsi_length': 10, 'sell_barrier': 75, 'dca_parts': 6}"
BTC,30min,-1000.0,"{'lowest_point_bars': 20, 'rsi_length': 10, 'sell_barrier': 75, 'dca_parts': 6}"
BTC,30min,11.62494230569293,"{'lowest_point_bars': 20, 'rsi_length': 10, 'sell_barrier': 75, 'dca_parts': 6}"
BTC,30min,11.62494230569293,"{'lowest_point_bars': 20, 'rsi_length': 10, 'sell_barrier': 75, 'dca_parts': 6}"
